CS ID,Ve0,Ve0-Vo0,dx0,Vy
LS-THC-G1-2-E1-10-00B-3030-00000078,60,40,16,0.2
LS-THC-G1-2-E1-10-00B-3030-00000079,60,40,17,0.2
LS-THC-G1-2-E1-10-00B-3030-00000080,60,40,18,0.2
LS-THC-G1-2-E1-10-00B-3030-00000081,60,40,19,0.2
LS-THC-G1-2-E1-10-00B-3030-00000082,60,40,20,0.2
LS-THC-G1-2-E1-10-00B-3030-00000083,60,40,21,0.2
LS-THC-G1-2-E1-10-00B-3030-00000084,60,40,22,0.2
LS-THC-G1-2-E1-10-00B-3030-00000085,60,40,23,0.2
LS-THC-G1-2-E1-10-00B-3030-00000086,60,40,24,0.2
LS-THC-G1-2-E1-10-00B-3030-00000087,60,40,25,0.2
LS-THC-G1-2-E1-10-00B-3030-00000088,60,40,26,0.2
LS-THC-G1-2-E1-10-00B-3030-00000089,60,40,27,0.2
LS-THC-G1-2-E1-10-00B-3030-00000090,60,40,28,0.2
LS-THC-G1-2-E1-10-00B-3030-00000091,60,40,29,0.2
LS-THC-G1-2-E1-10-00B-3030-00000092,60,40,30,0.2
LS-THC-G1-2-E1-10-00B-3030-00000093,60,40,31,0.2
LS-THC-G1-2-E1-10-00B-3030-00000094,60,40,32,0.2
LS-THC-G1-2-E1-10-00B-3030-00000095,60,40,33,0.2
LS-THC-G1-2-E1-10-00B-3030-00000096,60,40,34,0.2
LS-THC-G1-2-E1-10-00B-3030-00000097,60,40,35,0.2
LS-THC-G1-2-E1-10-00B-3030-00000098,60,40,36,0.2
LS-THC-G1-2-E1-10-00B-3030-00000099,60,40,37,0.2
LS-THC-G1-2-E1-10-00B-3030-00000100,60,40,38,0.2
LS-THC-G1-2-E1-10-00B-3030-00000101,60,40,39,0.2
LS-THC-G1-2-E1-10-00B-3030-00000102,60,40,40,0.2
LS-THC-G1-2-E1-10-00B-3030-00000103,60,40,41,0.2
LS-THC-G1-2-E1-10-00B-3030-00000104,60,40,42,0.2
LS-THC-G1-2-E1-10-00B-3030-00000105,60,40,43,0.2
LS-THC-G1-2-E1-10-00B-3030-00000106,60,40,44,0.2
LS-THC-G1-2-E1-10-00B-3030-00000107,60,40,45,0.2
LS-THC-G1-2-E1-10-00B-3030-00000108,60,40,46,0.2
